utt_id,emotion,session,wav_path
Ses01F_impro02_F020,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav
Ses01F_impro02_M001,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav
Ses01F_impro02_M005,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav
Ses01F_impro02_M009,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav
Ses01F_impro02_M010,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav
Ses01F_impro02_M011,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav
Ses01F_impro02_M012,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav
Ses01F_impro02_M013,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav
Ses01F_impro02_M014,sad,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav
Ses01F_impro02_M015,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav
Ses01F_impro03_F000,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav
Ses01F_impro03_F001,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav
Ses01F_impro03_F002,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav
Ses01F_impro03_F004,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav
Ses01F_impro03_F005,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav
Ses01F_impro03_F006,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav
Ses01F_impro03_F008,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav
Ses01F_impro03_F009,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav
Ses01F_impro03_F010,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav
Ses01F_impro03_F012,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav
Ses01F_impro03_F013,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav
Ses01F_impro03_F016,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav
Ses01F_impro03_F017,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav
Ses01F_impro03_F018,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav
Ses01F_impro03_F019,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav
Ses01F_impro03_F021,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav
Ses01F_impro03_F022,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav
Ses01F_impro03_F023,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav
Ses01F_impro03_F024,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav
Ses01F_impro03_F025,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav
Ses01F_impro03_F026,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav
Ses01F_impro03_M000,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav
Ses01F_impro03_M001,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav
Ses01F_impro03_M006,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav
Ses01F_impro03_M007,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav
Ses01F_impro03_M008,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav
Ses01F_impro03_M009,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav
Ses01F_impro03_M011,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav
Ses01F_impro03_M013,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav
Ses01F_impro03_M014,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav
Ses01F_impro03_M015,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav
Ses01F_impro03_M016,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav
Ses01F_impro03_M019,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav
Ses01F_impro03_M020,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav
Ses01F_impro03_M021,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M021.wav
Ses01F_impro03_M023,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M023.wav
Ses01F_impro03_M024,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M024.wav
Ses01F_impro04_F000,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav
Ses01F_impro04_F001,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav
Ses01F_impro04_F005,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav
Ses01F_impro04_F006,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav
Ses01F_impro04_F009,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav
Ses01F_impro04_F013,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav
Ses01F_impro04_F014,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav
Ses01F_impro04_F028,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav
Ses01F_impro04_F029,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav
Ses01F_impro04_F030,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav
Ses01F_impro04_F031,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav
Ses01F_impro04_F032,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav
Ses01F_impro04_F033,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav
Ses01F_impro04_M000,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav
Ses01F_impro04_M001,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav
Ses01F_impro04_M002,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav
Ses01F_impro04_M003,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.wav
Ses01F_impro04_M004,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.wav
Ses01F_impro04_M005,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.wav
Ses01F_impro04_M006,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.wav
Ses01F_impro04_M007,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav
Ses01F_impro04_M008,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.wav
Ses01F_impro04_M009,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.wav
Ses01F_impro04_M010,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.wav
Ses01F_impro04_M011,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.wav
Ses01F_impro04_M012,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.wav
Ses01F_impro04_M013,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.wav
Ses01F_impro04_M014,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M014.wav
Ses01F_impro04_M015,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M015.wav
Ses01F_impro04_M016,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M016.wav
Ses01F_impro04_M017,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M017.wav
Ses01F_impro04_M018,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M018.wav
Ses01F_impro04_M019,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M019.wav
Ses01F_impro04_M020,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M020.wav
Ses01F_impro04_M021,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M021.wav
Ses01F_impro04_M022,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M022.wav
Ses01F_impro04_M023,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M023.wav
Ses01F_impro04_M024,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M024.wav
Ses01F_impro04_M025,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M025.wav
Ses01F_impro04_M026,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M026.wav
Ses01F_impro04_M027,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M027.wav
Ses01F_impro04_M028,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M028.wav
Ses01F_impro04_M031,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M031.wav
Ses01F_impro04_M032,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M032.wav
Ses01F_impro05_F008,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F008.wav
Ses01F_impro05_F009,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F009.wav
Ses01F_impro05_F011,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F011.wav
Ses01F_impro05_F012,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F012.wav
Ses01F_impro05_F014,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F014.wav
Ses01F_impro05_F015,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F015.wav
Ses01F_impro05_F016,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F016.wav
Ses01F_impro05_F017,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F017.wav
Ses01F_impro05_F018,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F018.wav
Ses01F_impro05_F019,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F019.wav
Ses01F_impro05_F020,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F020.wav
Ses01F_impro05_F021,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F021.wav
Ses01F_impro05_F022,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F022.wav
Ses01F_impro05_F023,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F023.wav
Ses01F_impro05_F024,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F024.wav
Ses01F_impro05_F025,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F025.wav
Ses01F_impro05_F026,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F026.wav
Ses01F_impro05_F028,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F028.wav
Ses01F_impro05_F029,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F029.wav
Ses01F_impro05_F030,ang,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F030.wav
Ses01F_impro05_M000,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M000.wav
Ses01F_impro05_M001,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M001.wav
Ses01F_impro05_M002,hap,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M002.wav
Ses01F_impro05_M003,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M003.wav
Ses01F_impro05_M004,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M004.wav
Ses01F_impro05_M005,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M005.wav
Ses01F_impro05_M006,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M006.wav
Ses01F_impro05_M007,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M007.wav
Ses01F_impro05_M008,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M008.wav
Ses01F_impro05_M009,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M009.wav
Ses01F_impro05_M010,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M010.wav
Ses01F_impro05_M011,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M011.wav
Ses01F_impro05_M012,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M012.wav
Ses01F_impro05_M013,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M013.wav
Ses01F_impro05_M014,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M014.wav
Ses01F_impro05_M015,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M015.wav
Ses01F_impro05_M016,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M016.wav
Ses01F_impro05_M017,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M017.wav
Ses01F_impro05_M019,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M019.wav
Ses01F_impro05_M020,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M020.wav
Ses01F_impro05_M022,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M022.wav
Ses01F_impro05_M023,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M023.wav
Ses01F_impro05_M024,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M024.wav
Ses01F_impro05_M025,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M025.wav
Ses01F_impro05_M026,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M026.wav
Ses01F_impro05_M027,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M027.wav
Ses01F_impro05_M028,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M028.wav
Ses01F_impro05_M029,neu,Session1,/Volumes/MI USB/iemocap/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M029.wav
